id,practitioner_id,tip_title,category,bullets,display_order,is_active,is_custom,created_at
004d3ea1-856b-4481-8848-091799f31bf0,ca28cadc-81e9-45c1-a1b3-731076afd835,Chemical peel aftercare,Aftercare,"[""Depending on your skin and the depth of your peel, you may experience some peeling or flaking over the next few days. This is your skin renewing itself, resist the urge to pick or peel."",""Keep skin hydrated with a gentle moisturiser only."",""Avoid all active ingredients until peeling has completely settled or for a minimum of 48 hours."",""Stay out of direct sunlight and wear SPF50 every day without exception."",""Avoid heat treatments, saunas and excessive sweating for 48 hours."",""Do not exfoliate, let your skin shed naturally."",""If anything feels unusual or concerns you, get in touch straight away.""]",12,true,false,2026-03-29 14:10:59.914047+00
011a3fa6-33b7-427f-b384-a927dc45f7be,f63ca619-ee7d-4788-adbb-bcd0137f244f,Reducing bacteria in your environment,Acne,"[""Change your pillowcase at least twice a week."",""Clean your phone screen daily."",""Use a separate face towel and change it every two to three days."",""Small habits that make a real difference.""]",3,true,false,2026-03-25 10:28:38.578057+00
017e424b-967a-4e24-82e2-6677113f406b,be705ce2-2c38-4a3d-9964-c7d42b459538,How much product to use,Routine Essentials,"[""Less is more with active ingredients. A pea-sized amount of serum is enough for the whole face."",""Applying more does not make a product work faster. It increases the risk of irritation."",""Give each product thirty seconds to absorb before applying the next."",""Pat products in gently rather than rubbing. Your skin barrier will thank you.""]",5,true,false,2026-04-07 18:54:20.837309+00
02fc5f72-430d-4b87-87f4-5c23dd270a8e,f63ca619-ee7d-4788-adbb-bcd0137f244f,Microneedling aftercare,Aftercare,"[""Your skin is in active repair mode. Immediately after it may feel flushed and warm, similar to mild sunburn. This usually settles within 24 to 48 hours but everyone's skin reacts differently."",""Do not put ANY products on your face, this is the most important rule immediately after treatment."",""Change your pillowcase when you get home."",""Avoid touching your face."",""Avoid swimming pools and hot tubs."",""Avoid excessive sweating and the gym."",""After 24 hours you can resume a gentle hydrating routine."",""Avoid for 7 days: any acids or retinoids, any exfoliation or scrubs, excessive heat such as saunas, facial hair removal."",""Avoid for 14 days: Botox and dermal fillers, direct UV exposure without SPF50.""]",11,true,false,2026-03-29 14:10:59.914047+00
0395d2f0-c5f1-4abd-adac-f9ee3aa7fc45,912ed997-549d-4e71-b592-8327f3d8822b,Reducing bacteria in your environment,Routine Essentials,"[""Change your pillowcase at least twice a week. Your skin spends eight hours pressed against it every night."",""Clean your phone screen daily. It carries more bacteria than most surfaces you touch."",""Wash your hands before applying skincare. Introducing bacteria to your face undoes the work of your routine."",""Use a clean towel for your face, separate from your body towel, and change it every two to three days.""]",3,true,false,2026-04-18 18:59:03.216833+00
03e5fbfc-52d8-4991-9ef4-c4294b08ea5a,84afb98a-4edd-41b9-92b4-fb80495b7e0b,Diet and your skin,Lifestyle and Triggers,"[""Dairy and high glycaemic foods are the most common dietary triggers for acne and inflammation. You do not need to eliminate them entirely but noticing patterns is worthwhile."",""Omega-3 fatty acids found in oily fish, walnuts and flaxseed actively support skin barrier function and reduce inflammation."",""Alcohol dehydrates the skin and disrupts sleep quality. Both show on your face faster than most people expect."",""No single food will fix your skin but a consistently anti-inflammatory diet supports everything else you are doing.""]",7,true,false,2026-03-30 12:02:14.173297+00
04511ce7-caa0-4014-a26a-2eabb270f419,f99a5c48-af4e-42fb-9f86-b2381059355a,Introducing active ingredients,General Skincare,"[""Always introduce one new active at a time so you know exactly what your skin loves (or doesn't!)."",""Start slowly, two to three times a week, and build from there."",""Your skin will tell you what it needs.""]",4,true,false,2026-03-25 10:28:35.153514+00
04ce9973-142f-4ee8-ae95-ae3f1bef08e8,be705ce2-2c38-4a3d-9964-c7d42b459538,After your facial — the next 24 hours,Treatment Follow-up,"[""Avoid touching your face unnecessarily. Your skin is in repair mode and needs to be left alone."",""No makeup for at least 12 hours if possible. Let your skin breathe and absorb everything it has received."",""Stay out of direct sunlight and skip any heat treatments such as saunas or steam rooms for 24 hours."",""Some clients experience a light purge in the week following a deep treatment facial. This is a normal part of the clearing process and will pass."",""Drink plenty of water. Hydration supports everything your skin is doing right now.""]",2,true,false,2026-04-07 18:54:20.837309+00
04fb57b7-ff5d-4915-b186-e1e1a51453eb,9265dd02-a2b6-4de6-8d06-60b93dc8cdf3,My updated tip,General Skincare,"[""Bullet one"",""Bullet two""]",98,false,true,2026-03-23 20:22:32.853557+00
058de075-eff7-49f3-854a-5f43bb9ce154,190e3a95-a8e6-4dab-99c5-52d9ff7fdc49,After your facial — the next 24 hours,Treatment Follow-up,"[""Avoid touching your face unnecessarily. Your skin is in repair mode and needs to be left alone."",""No makeup for at least 12 hours if possible. Let your skin breathe and absorb everything it has received."",""Stay out of direct sunlight and skip any heat treatments such as saunas or steam rooms for 24 hours."",""Some clients experience a light purge in the week following a deep treatment facial. This is a normal part of the clearing process and will pass."",""Drink plenty of water. Hydration supports everything your skin is doing right now.""]",2,true,false,2026-03-29 20:22:27.328805+00
05e0452b-fdfb-46c3-9be0-a262a4e6e259,f824b82b-0bcc-4d09-b558-9214d663f527,Basic facial aftercare,Aftercare,"[""Your skin has been deeply cleansed and treated today, give it space to breathe."",""Keep your routine simple for the next 24 hours, cleanser, moisturiser and SPF only."",""Drink plenty of water, hydration supports everything your skin is doing right now."",""Some mild redness or sensitivity is completely normal and will settle quickly."",""If anything concerns you, please reach out.""]",10,true,false,2026-03-29 14:10:59.914047+00
066f2eed-7d43-4f9e-bec1-af724a5a16ba,c26b6784-9300-4741-9b7c-80e3b7b22e39,Introducing active ingredients,New Routine,"[""Always introduce one new active ingredient at a time, never two at once, so you know exactly what is working or what is reacting."",""Start slowly. Use two to three times a week before building to daily, and always patch test first on a small area for three days."",""Active ingredients like retinol, vitamin C, acids and exfoliators are powerful but they need to earn their place in your routine gradually."",""Never use retinol and a strong acid on the same evening. They could destabilise each other and irritate the skin barrier. If you are ever unsure about combining ingredients, get in touch and we will guide you.""]",4,true,false,2026-04-06 18:35:10.422376+00
06b079b1-cb59-40af-bf23-6a453843aa3a,89a49534-d91e-42e4-8bf2-8f5c42fa5389,Hormones and your skin,Acne,"[""Hormonal fluctuations affect sebum, sensitivity and healing speed throughout the month."",""Your skin is not being unpredictable, it is responding to your cycle."",""Tracking patterns over time helps make sense of it.""]",9,true,false,2026-03-25 10:28:38.137351+00
07aa1f6b-c0e2-4ba8-8444-e47798636e86,270e01ff-f87a-4af0-8291-7bde04257ec8,How much product to use,Routine Essentials,"[""Less is more with active ingredients. A pea-sized amount of serum is enough for the whole face."",""Applying more does not make a product work faster. It increases the risk of irritation."",""Give each product thirty seconds to absorb before applying the next."",""Pat products in gently rather than rubbing. Your skin barrier will thank you.""]",5,true,false,2026-04-07 19:00:53.819053+00
